,ID,Topic-Cosine,Topic-Labeled,Topic-Twirank,V1,V2
1,299028041114480640,Topic-4,Topic-4,Topic-4,0.093772456868106,0.0469312175261949
2,299051385683582976,Topic-33,Topic-4,Topic-4,0.532580930366876,-0.621543790506548
3,299087754321616896,Topic-4,Topic-4,Topic-4,0.100559432736833,0.0407705500109715
4,299182415610519552,Topic-4,Topic-4,Topic-4,0.360191335511127,-0.441857116651143
5,299189457888874496,Topic-4,Topic-4,Topic-4,0.0951973782412374,0.0489832019315379
6,299190183545409536,Topic-42,Topic-4,Topic-4,0.0846106183153127,0.0429155941725715
7,299228547585806336,Topic-42,Topic-4,Topic-4,0.117884422923604,0.00760568825681367
8,299456555189932032,Topic-4,Topic-4,Topic-4,0.496492119421116,-0.555021629284423
9,299513628804149248,Topic-4,Topic-4,Topic-4,0.0945363656783845,0.0497348903122413
10,299555675594448896,Topic-4,Topic-4,Topic-4,0.0970326209222084,0.0407637572763104
11,2.99609554013e+17,Topic-4,Topic-4,Topic-4,0.0967435123330955,0.0419325617173689
12,299625168937050112,Topic-4,Topic-4,Topic-4,0.493856453519089,-0.570649377847927
13,299628609293910016,Topic-4,Topic-4,Topic-4,0.0976433152039991,0.0311908007677737
14,299725833277415424,Topic-4,Topic-4,Topic-4,0.509198614630359,-0.631151969954982
15,299847587014524928,Topic-4,Topic-4,Topic-4,0.0724037059786272,0.0452724579696232
16,299900896584806400,Topic-4,Topic-4,Topic-4,0.225510766469792,-0.202396885631013
17,299933970630586368,Topic-4,Topic-4,Topic-4,0.0932424744537798,0.0440656103415045
18,300115547931152384,Topic-4,Topic-4,Topic-4,0.0937724568681063,0.0469312175261836
19,300249285788852224,Topic-4,Topic-4,Topic-4,0.53848545456679,-0.631378198498295
20,300346930167422976,Topic-4,Topic-4,Topic-4,0.0970491977339961,0.0550086732023123
21,300496500822245376,Topic-4,Topic-4,Topic-4,0.0862180388073993,0.0381704319733482
22,300703480727863296,Topic-4,Topic-4,Topic-4,0.0938078181975622,0.0435729732806238
23,300761100981506048,Topic-36,Topic-4,Topic-4,0.117997153132462,0.0453815351651373
24,301027209408311296,Topic-4,Topic-4,Topic-4,0.0783893779462561,0.0445032431414927
25,301073218633072640,Topic-4,Topic-4,Topic-4,0.0933186140914951,0.046741173926926
26,301113233551552512,Topic-4,Topic-4,Topic-4,0.0798483597907757,0.0442496929058207
27,301131358682632192,Topic-4,Topic-4,Topic-4,0.0837357379863914,0.0443151778622482
28,301206034926690304,Topic-4,Topic-4,Topic-4,-0.288279123231519,-0.0205018965842332
29,301530223701286912,Topic-33,Topic-4,Topic-4,0.126646537636199,0.0479322678863147
30,301533579685548032,Topic-4,Topic-4,Topic-4,0.0990692566191558,0.0355527958158865
31,299026565923213312,Topic-11,Topic-11,Topic-11,0.0736687771146879,0.0568393707917316
32,299108098545680384,Topic-113,Topic-11,Topic-11,0.0872148580835652,0.0535718565197459
33,299238975992913920,Topic-11,Topic-11,Topic-11,-0.00196825171205811,0.0375463193243517
34,299263161893257216,Topic-11,Topic-11,Topic-11,0.0977741155506937,0.0533863875257326
35,299264083507699712,Topic-11,Topic-11,Topic-11,0.0977741155506937,0.0533863875257325
36,299341241953427456,Topic-11,Topic-11,Topic-11,0.0886281761371203,0.0615793010692899
37,299351774823870464,Topic-11,Topic-11,Topic-11,0.0901334832257129,0.0570209388320697
38,299616831713472512,Topic-140,Topic-11,Topic-57,0.0887657321675345,0.0548896659183354
39,299640594152710144,Topic-11,Topic-11,Topic-11,0.0972734314433303,0.0530744757297998
40,299645596191555584,Topic-11,Topic-11,Topic-11,0.11296452748393,0.0415334797261134
41,299674529691738112,Topic-11,Topic-11,Topic-11,0.101115955804419,0.0684504682476678
42,299685815947255808,Topic-11,Topic-11,Topic-11,0.0981381144443837,0.0496634557473786
43,299735525202485248,Topic-11,Topic-11,Topic-11,0.0903397070828593,0.0568551887398228
44,299894145282097152,Topic-11,Topic-11,Topic-11,0.112796929986843,0.0546653973748984
45,300334724520501248,Topic-11,Topic-11,Topic-11,0.0696628127183739,0.0569505608144258
46,300361157917700096,Topic-11,Topic-11,Topic-11,0.084472121422466,0.0530250552380416
47,300664989109346304,Topic-11,Topic-11,Topic-11,0.0841944475201014,0.0528898877007608
48,300780279004545024,Topic-11,Topic-11,Topic-11,0.0704584426650487,0.0576883741483957
49,301050625846808576,Topic-11,Topic-11,Topic-11,0.0841944475201014,0.0528898877007608
50,301068239608348672,Topic-22,Topic-11,Topic-11,0.126276859377302,0.0754471764996109
51,299042598570586112,Topic-13,Topic-13,Topic-13,0.0131780396065876,0.884951573314654
52,299207709922848768,Topic-13,Topic-13,Topic-13,-0.00104438733274261,0.0553717575609802
53,299208103931559936,Topic-13,Topic-13,Topic-13,-0.570874726596876,0.121463573026877
54,298058453367259136,Topic-13,Topic-13,Topic-13,-0.0900550180119569,0.987068882243886
